SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,604 W Park St,Thomasboro,IL,61878,69900,3,1.5,Northern Champaign County / Ford County,1632,10440,1979,1,43,,Active,,,https://www.redfin.com/IL/Thomasboro/604-W-Park-St-61878/home/126568205,MRED as Distributed by MLS Grid,12167998,N,Y,40.2408138,-88.1922896
MLS Listing,,Single Family Residential,406 S Elm St,Champaign,IL,61820,189900,2,1.5,"Champaign, Savoy",1249,3328,1920,1,152,,Active,,,https://www.redfin.com/IL/Champaign/406-S-Elm-St-61820/home/126597119,MRED as Distributed by MLS Grid,12127753,N,Y,40.1120711,-88.2498183
MLS Listing,,Single Family Residential,2489 County Road 2100,Thomasboro,IL,61878,179900,3,1.0,Northern Champaign County / Ford County,1445,11250,1954,1,124,,Active,,,https://www.redfin.com/IL/Thomasboro/2489-County-Road-2100-E-61878/home/126994784,MRED as Distributed by MLS Grid,12142918,N,Y,40.2379636,-88.0596051
MLS Listing,,Single Family Residential,601 Bloomington Rd,Champaign,IL,61820,69000,2,1.0,"Champaign, Savoy",850,,1939,1,81,,Active,,,https://www.redfin.com/IL/Champaign/601-Bloomington-Rd-61820/home/127008671,MRED as Distributed by MLS Grid,12139110,N,Y,40.1293386,-88.2519531
MLS Listing,,Single Family Residential,612 W Washington St,Urbana,IL,61801,269900,4,3.0,Urbana,2288,5662,1938,1,118,,Active,September-21-2024 10:00 AM,September-21-2024 12:00 PM,https://www.redfin.com/IL/Urbana/612-W-Washington-St-61801/home/126806375,MRED as Distributed by MLS Grid,12155714,N,Y,40.1057574,-88.2155518
MLS Listing,,Single Family Residential,512 S James St,Champaign,IL,61821,270000,3,1.5,"Champaign, Savoy",1443,8100,1937,1,187,,Active,September-19-2024 04:00 PM,September-19-2024 06:00 PM,https://www.redfin.com/IL/Champaign/512-S-James-St-61821/home/126585640,MRED as Distributed by MLS Grid,12161691,N,Y,40.1109212,-88.2646342
MLS Listing,,Ranch,00 Route 136,Potomac,IL,61865,140000,,,Balance of Vermillion County,,508345,,1,,,Active,,,https://www.redfin.com/IL/Tennessee/US-Highway-136-Unknown/home/179206124,MRED as Distributed by MLS Grid,12159300,N,Y,40.30373293,-87.79026215
MLS Listing,,Condo/Co-op,1903 N Lincoln Ave #215,Urbana,IL,61801,170000,4,4.0,Urbana,1547,,2006,1,110,350,Active,,,https://www.redfin.com/IL/Urbana/1903-N-Lincoln-Ave-61801/unit-215/home/144939574,MRED as Distributed by MLS Grid,12166150,N,Y,40.129705,-88.2212787
MLS Listing,,Single Family Residential,100 W Church St,Potomac,IL,61865,240000,3,2.5,Balance of Vermillion County,2238,29949,,1,107,,Active,,,https://www.redfin.com/IL/Potomac/100-W-Church-St-61865/home/138197527,MRED as Distributed by MLS Grid,12166988,N,Y,40.3120063,-87.8010738
MLS Listing,,Condo/Co-op,1810 Lake Ridge Ct #1810,Mahomet,IL,61853,429900,5,3.0,Western Champaign County / Piatt & McClean Counties,1574,,2015,2,273,,Active,,,https://www.redfin.com/IL/Mahomet/1810-Lake-Ridge-Ct-61853/unit-1810/home/183973766,MRED as Distributed by MLS Grid,12166433,N,Y,40.1974665,-88.3746687
MLS Listing,,Single Family Residential,110 N West St,Homer,IL,61849,77000,2,1.0,Eastern Champaign County / Vermillion County,1196,14784,1952,2,64,,Active,,,https://www.redfin.com/IL/Homer/110-N-West-St-61849/home/126745633,MRED as Distributed by MLS Grid,12006804,N,Y,40.0369817,-87.9596703
MLS Listing,,Single Family Residential,102 E Willard St,Urbana,IL,61801,235000,4,2.0,University Downs,2094,10848,1987,2,112,,Active,,,https://www.redfin.com/IL/Urbana/102-E-Willard-St-61801/home/126444011,MRED as Distributed by MLS Grid,12158125,N,Y,40.0845652,-88.2068992
MLS Listing,,Condo/Co-op,3030 E Stillwater Lndg #204,Urbana,IL,61802,172900,2,2.0,Urbana,1350,,2006,2,128,170,Active,,,https://www.redfin.com/IL/Urbana/3030-E-Stillwater-Lndg-61802/unit-204/home/126458158,MRED as Distributed by MLS Grid,12142806,N,Y,40.0906928,-88.166645
MLS Listing,,Condo/Co-op,1901 N Lincoln Ave #217,Urbana,IL,61801,135000,2,2.0,Urbana,909,,2006,3,149,225,Active,,,https://www.redfin.com/IL/Urbana/1901-N-Lincoln-Ave-61801/unit-217/home/192583832,MRED as Distributed by MLS Grid,12165737,N,Y,40.1299058,-88.2201231
MLS Listing,,Condo/Co-op,1901 N Lincoln Ave #103,Urbana,IL,61801,135000,2,2.0,Urbana,909,,2006,3,149,225,Active,,,https://www.redfin.com/IL/Urbana/1901-N-Lincoln-Ave-61801/unit-103/home/181175571,MRED as Distributed by MLS Grid,12165722,N,Y,40.1299275,-88.2201372
MLS Listing,,Single Family Residential,2191 Wagon Trail Rd,White Heath,IL,61884,1495000,4,5.0,Wagon Trail Road,7428,259182,2016,3,201,,Active,,,https://www.redfin.com/IL/White-Heath/2191-Wagon-Trail-Rd-61884/home/145698147,MRED as Distributed by MLS Grid,12156803,N,Y,40.111006,-88.49365
MLS Listing,,Single Family Residential,601 Lake Falls Blvd,Savoy,IL,61874,699000,4,2.5,"Champaign, Savoy",2620,13189,2017,3,267,,Active,,,https://www.redfin.com/IL/Savoy/601-Lake-Falls-Blvd-61874/home/127779297,MRED as Distributed by MLS Grid,12162807,N,Y,40.041651,-88.2421422
MLS Listing,,Single Family Residential,1003 W William St,Champaign,IL,61821,359900,4,2.0,Chamber of Commerce,1797,6600,1925,3,200,,Active,,,https://www.redfin.com/IL/Champaign/1003-W-William-St-61821/home/126936935,MRED as Distributed by MLS Grid,12163830,N,Y,40.1070177,-88.260509
MLS Listing,,Single Family Residential,1613 Ivanhoe Way,Urbana,IL,61802,145000,3,1.0,Urbana,935,,1981,5,155,,Active,,,https://www.redfin.com/IL/Urbana/1613-Ivanhoe-Way-61802/home/127007414,MRED as Distributed by MLS Grid,12143862,N,Y,40.101572,-88.1881055
MLS Listing,,Single Family Residential,301 Sands Dr,Homer,IL,61849,189900,3,3.0,Eastern Champaign County / Vermillion County,1887,13320,,6,101,,Active,,,https://www.redfin.com/IL/Homer/301-S-Sands-Rd-61849/home/126590731,MRED as Distributed by MLS Grid,12164100,N,Y,40.0330697,-87.9619096
MLS Listing,,Single Family Residential,1107 Cobblefield Rd,Champaign,IL,61822,340000,3,2.5,Turnberry Ridge,2216,8280,2000,6,153,14,Active,,,https://www.redfin.com/IL/Champaign/1107-Cobblefield-Rd-61822/home/126670957,MRED as Distributed by MLS Grid,12163136,N,Y,40.1037548,-88.3096836
MLS Listing,,Vacant Land,1709 Harrington Dr,Champaign,IL,61821,85000,,,"Champaign, Savoy",,28749,,6,,,Active,,,https://www.redfin.com/IL/Champaign/1709-Harrington-Dr-61821/home/126911791,MRED as Distributed by MLS Grid,12163969,N,Y,40.0875775,-88.2760082
MLS Listing,,Townhouse,1524 Golfview Rd,Rantoul,IL,61866,169900,3,3.5,Northern Champaign County / Ford County,1956,,1964,6,87,4,Active,,,https://www.redfin.com/IL/Rantoul/1524-Golfview-Rd-61866/home/126953837,MRED as Distributed by MLS Grid,12158684,N,Y,40.297783,-88.129375
